Item id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Sales Total,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
518,59,12/4/19 19:48,12/4/19 19:48,5E+17,Omar Casas,902,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Margarita,Favorites,Cocktails,Beverages,Liquor,10.1,5.05,5.05,1,,0.45,FALSE,FALSE,FALSE,Tax Included,No Effect,
519,59,12/4/19 19:48,12/4/19 19:48,5E+17,Omar Casas,902,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Margarita,Favorites,Cocktails,Beverages,Liquor,10.1,5.05,5.05,1,,0.45,FALSE,FALSE,FALSE,Tax Included,No Effect,
520,54,12/4/19 19:49,12/4/19 19:06,5E+17,Omar Casas,105,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
521,56,12/4/19 20:20,12/4/19 19:20,5E+17,Omar Casas,5,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Vodka - Aloo,,Rail,Beverages,Liquor,9.19,0,9.19,1,,0.81,FALSE,FALSE,FALSE,Tax Included,No Effect,
522,56,12/4/19 20:20,12/4/19 19:20,5E+17,Omar Casas,5,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Couple's Therapy,Fall 2019,Cocktails,Beverages,Liquor,11.94,0,11.94,1,,1.06,FALSE,FALSE,FALSE,Tax Included,No Effect,
523,58,12/4/19 20:20,12/4/19 19:41,5E+17,Omar Casas,7,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
524,60,12/4/19 22:13,12/4/19 22:12,5E+17,Omar Casas,106,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
525,61,12/4/19 22:51,12/4/19 22:50,5E+17,Omar Casas,901,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Smash Burger,,Dinner Menu,Dinner,Food,14,14,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
526,61,12/4/19 22:51,12/4/19 22:50,5E+17,Omar Casas,901,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,8.27,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
527,61,12/4/19 22:51,12/4/19 22:50,5E+17,Omar Casas,901,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,8.27,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
528,61,12/4/19 22:51,12/4/19 22:50,5E+17,Omar Casas,901,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Bourbon - Old Forester,,Rail,Beverages,Liquor,8.27,8.27,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
